iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,M,P_HTHAB,CH	0.62 	0.68 	0.83 	0.85 	0.76 	0.92 	0.59 	1.07 	0.77 	0.94 
ICCS0101,PER_CNV,M,P_HTHAB,CY	3.12 	1.45 	0.73 	1.44 	4.28 	1.91 	0.49 	2.75 	1.28 	0.79 
ICCS0101,PER_CNV,M,P_HTHAB,CZ	1.33 	1.58 	1.93 	2.25 	2.07 	1.90 	2.10 	1.75 	1.95 	2.39 
ICCS0101,PER_CNV,M,P_HTHAB,DE	0.63 	0.71 	0.75 	0.73 	0.66 	0.83 	0.73 	0.85 	0.86 	: 
ICCS0101,PER_CNV,M,P_HTHAB,DK	1.05 	0.56 	1.17 	0.68 	0.72 	1.12 	0.87 	1.75 	1.24 	0.77 
ICCS0101,PER_CNV,M,P_HTHAB,EE	3.56 	5.51 	5.21 	4.55 	9.90 	9.06 	6.13 	8.05 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,ES	0.75 	0.71 	0.95 	0.90 	0.36 	0.32 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,FI	1.62 	1.85 	1.75 	2.50 	1.99 	2.41 	2.62 	2.55 	2.26 	3.31 
ICCS0101,PER_CNV,M,P_HTHAB,FR	1.23 	1.22 	1.16 	1.10 	1.60 	1.68 	1.44 	1.84 	1.79 	1.88 
ICCS0101,PER_CNV,M,P_HTHAB,HR	2.69 	3.02 	1.47 	2.20 	2.14 	1.99 	1.98 	1.49 	2.17 	2.02 
ICCS0101,PER_CNV,M,P_HTHAB,HU	2.89 	3.37 	2.77 	2.66 	2.14 	2.62 	1.92 	2.52 	3.28 	2.29 
ICCS0101,PER_CNV,M,P_HTHAB,IS	: 	0.60 	1.21 	: 	0.62 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,IT	1.94 	2.00 	1.66 	1.99 	1.78 	1.67 	1.52 	1.97 	2.02 	2.11 
ICCS0101,PER_CNV,M,P_HTHAB,LT	10.29 	10.00 	8.91 	13.05 	11.03 	11.93 	14.14 	15.24 	13.64 	17.01 
ICCS0101,PER_CNV,M,P_HTHAB,LU	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,LV	10.49 	10.39 	11.63 	11.89 	9.28 	8.24 	6.01 	6.69 	7.45 	9.63 
ICCS0101,PER_CNV,M,P_HTHAB,ME	3.90 	3.25 	4.55 	5.86 	10.10 	1.96 	1.96 	1.31 	9.21 	: 
ICCS0101,PER_CNV,M,P_HTHAB,MK	: 	: 	: 	3.77 	3.00 	3.49 	3.59 	3.11 	5.06 	3.12 
ICCS0101,PER_CNV,M,P_HTHAB,MT	0.43 	0.46 	1.40 	0.00 	0.95 	0.96 	1.45 	1.45 	1.95 	0.49 
ICCS0101,PER_CNV,M,P_HTHAB,NL	5.96 	5.25 	5.83 	6.52 	7.73 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,NO	: 	0.91 	0.65 	0.93 	0.87 	0.96 	0.89 	1.11 	0.96 	0.72 
ICCS0101,PER_CNV,M,P_HTHAB,PT	1.11 	1.75 	1.95 	2.14 	2.30 	2.52 	2.53 	2.25 	2.94 	2.23 
ICCS0101,PER_CNV,M,P_HTHAB,RO	7.45 	: 	8.09 	8.48 	7.92 	7.87 	8.99 	7.99 	7.05 	6.59 
ICCS0101,PER_CNV,M,P_HTHAB,RS	2.48 	2.79 	2.25 	3.74 	3.32 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,SE	2.55 	3.16 	3.00 	2.68 	2.73 	2.56 	2.64 	3.20 	2.95 	3.02 
ICCS0101,PER_CNV,M,P_HTHAB,SI	: 	1.76 	1.96 	3.23 	3.53 	2.16 	2.56 	1.48 	1.99 	2.74 
ICCS0101,PER_CNV,M,P_HTHAB,SK	1.02 	1.10 	1.02 	1.52 	1.37 	1.48 	1.45 	2.25 	1.57 	1.72 
ICCS0101,PER_CNV,M,P_HTHAB,TR	: 	14.31 	16.23 	15.97 	18.36 	46.04 	40.00 	42.21 	40.42 	: 
ICCS0101,PER_CNV,M,P_HTHAB,UKC-L	: 	0.94 	0.89 	1.14 	1.05 	1.17 	1.16 	1.20 	1.32 	1.55 
ICCS0101,PER_CNV,M,P_HTHAB,UKM	1.03 	0.99 	0.96 	1.16 	1.67 	1.79 	1.91 	1.69 	1.90 	2.23 
